precinct_norm,offense_category,previous_28d,current_28d,change_28d,pct_change_28d,recent_movement,city_previous_28d,city_current_28d,city_change_28d,city_pct_change_28d,previous_28d_start,previous_28d_end,current_28d_start,current_28d_end,pct_change_vs_previous,trend_class,city_gap_28d,priority_score,priority_signal
07,FAMILY OFFENSE,3,3,0,0.0,No Change,78,68,-10,-12.82,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-8.823529411764707,Improving,12.82,10.6,Monitor
11,ARSON,4,4,0,0.0,No Change,32,34,2,6.25,2026-07-01,2026-07-28,2026-07-29,2026-08-25,11.11111111111111,Worsening,-6.25,10.0,Monitor
03,ARSON,2,1,-1,-50.0,Decreasing,32,34,2,6.25,2026-07-01,2026-07-28,2026-07-29,2026-08-25,33.333333333333336,Worsening,-56.25,10.0,Monitor
02,KIDNAPPING,1,0,-1,-100.0,Decreasing,22,21,-1,-4.55,2026-07-01,2026-07-28,2026-07-29,2026-08-25,66.66666666666667,Worsening,-95.45,10.0,Monitor
05,LIQUOR,1,0,-1,-100.0,Decreasing,2,0,-2,-100.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,100.0,Consistently Worsening,0.0,10.0,Monitor
06,MISCELLANEOUS,1,0,-1,-100.0,Decreasing,6,7,1,16.67,2026-07-01,2026-07-28,2026-07-29,2026-08-25,150.0,Consistently Worsening,-116.67,10.0,Monitor
08,EXTORTION,1,0,-1,-100.0,Decreasing,11,7,-4,-36.36,2026-07-01,2026-07-28,2026-07-29,2026-08-25,50.0,Consistently Worsening,-63.64,10.0,Monitor
09,EXTORTION,4,0,-4,-100.0,Decreasing,11,7,-4,-36.36,2026-07-01,2026-07-28,2026-07-29,2026-08-25,66.66666666666667,Consistently Worsening,-63.64,10.0,Monitor
09,MISCELLANEOUS,1,0,-1,-100.0,Decreasing,6,7,1,16.67,2026-07-01,2026-07-28,2026-07-29,2026-08-25,175.0,Worsening,-116.67,10.0,Monitor
11,HEALTH AND SAFETY,1,0,-1,-100.0,Decreasing,8,12,4,50.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,600.0,Worsening,-150.0,10.0,Monitor
07,OUIL,8,6,-2,-25.0,Decreasing,66,66,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,0.0,Stable,-25.0,9.5,Monitor
09,ARSON,7,6,-1,-14.29,Decreasing,32,34,2,6.25,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-26.31578947368421,Improving,-20.54,9.5,Monitor
10,OUIL,6,6,0,0.0,No Change,66,66,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-12.5,Improving,0.0,9.5,Monitor
10,ARSON,4,4,0,0.0,No Change,32,34,2,6.25,2026-07-01,2026-07-28,2026-07-29,2026-08-25,6.451612903225806,Consistently Worsening,-6.25,9.1,Monitor
05,DISORDERLY CONDUCT,1,1,0,0.0,No Change,23,23,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,28.571428571428573,Worsening,0.0,9.1,Monitor
10,SEXUAL ASSAULT,5,4,-1,-20.0,Decreasing,46,54,8,17.39,2026-07-01,2026-07-28,2026-07-29,2026-08-25,4.878048780487805,Worsening,-37.39,8.8,Monitor
03,STOLEN PROPERTY,9,5,-4,-44.44,Decreasing,149,136,-13,-8.72,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-12.5,Consistently Improving,-35.72,8.7,Monitor
04,STOLEN PROPERTY,8,5,-3,-37.5,Decreasing,149,136,-13,-8.72,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-53.01204819277108,Consistently Improving,-28.78,8.7,Monitor
06,SEXUAL ASSAULT,5,5,0,0.0,No Change,46,54,8,17.39,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-20.0,Improving,-17.39,8.7,Monitor
05,OUIL,4,4,0,0.0,No Change,66,66,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-17.647058823529413,Improving,0.0,7.8,Monitor
11,DANGEROUS DRUGS,11,3,-8,-72.73,Decreasing,74,77,3,4.05,2026-07-01,2026-07-28,2026-07-29,2026-08-25,4.878048780487805,Worsening,-76.78,7.7,Monitor
04,ARSON,0,1,1,,Increasing,32,34,2,6.25,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-33.333333333333336,Consistently Improving,,6.9,Monitor
04,DISORDERLY CONDUCT,0,1,1,,Increasing,23,23,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-63.63636363636363,Improving,,6.9,Monitor
