period,precinct_norm,selection_type,selection_name,weekday,time_block,incident_count,neighborhood_scope
YTD,ALL,Crime Type,DANGEROUS DRUGS,Saturday,18:00-23:59,24,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Sunday,00:00-05:59,11,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Sunday,06:00-11:59,6,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Sunday,12:00-17:59,10,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Sunday,18:00-23:59,25,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Thursday,00:00-05:59,9,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Thursday,06:00-11:59,19,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Thursday,12:00-17:59,73,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Thursday,18:00-23:59,32,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Tuesday,00:00-05:59,12,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Tuesday,06:00-11:59,16,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Tuesday,12:00-17:59,105,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Tuesday,18:00-23:59,22,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Wednesday,00:00-05:59,16,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Wednesday,06:00-11:59,15,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Wednesday,12:00-17:59,81,ALL
YTD,ALL,Crime Type,DANGEROUS DRUGS,Wednesday,18:00-23:59,31,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Friday,00:00-05:59,9,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Friday,06:00-11:59,5,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Friday,12:00-17:59,9,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Friday,18:00-23:59,10,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Monday,00:00-05:59,8,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Monday,06:00-11:59,2,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Monday,12:00-17:59,9,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Monday,18:00-23:59,17,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Saturday,00:00-05:59,11,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Saturday,06:00-11:59,1,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Saturday,12:00-17:59,8,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Saturday,18:00-23:59,11,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Sunday,00:00-05:59,9,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Sunday,06:00-11:59,2,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Sunday,12:00-17:59,8,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Sunday,18:00-23:59,13,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Thursday,00:00-05:59,2,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Thursday,06:00-11:59,2,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Thursday,12:00-17:59,6,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Thursday,18:00-23:59,16,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Tuesday,00:00-05:59,5,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Tuesday,06:00-11:59,2,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Tuesday,12:00-17:59,7,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Tuesday,18:00-23:59,12,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Wednesday,00:00-05:59,4,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Wednesday,06:00-11:59,7,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Wednesday,12:00-17:59,7,ALL
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Wednesday,18:00-23:59,11,ALL
YTD,ALL,Crime Type,EXTORTION,Friday,00:00-05:59,3,ALL
YTD,ALL,Crime Type,EXTORTION,Friday,06:00-11:59,3,ALL
YTD,ALL,Crime Type,EXTORTION,Friday,12:00-17:59,2,ALL
YTD,ALL,Crime Type,EXTORTION,Friday,18:00-23:59,2,ALL
YTD,ALL,Crime Type,EXTORTION,Monday,00:00-05:59,5,ALL
YTD,ALL,Crime Type,EXTORTION,Monday,06:00-11:59,2,ALL
YTD,ALL,Crime Type,EXTORTION,Monday,12:00-17:59,2,ALL
YTD,ALL,Crime Type,EXTORTION,Monday,18:00-23:59,7,ALL
YTD,ALL,Crime Type,EXTORTION,Saturday,00:00-05:59,3,ALL
YTD,ALL,Crime Type,EXTORTION,Saturday,06:00-11:59,4,ALL
YTD,ALL,Crime Type,EXTORTION,Saturday,12:00-17:59,3,ALL
YTD,ALL,Crime Type,EXTORTION,Saturday,18:00-23:59,3,ALL
YTD,ALL,Crime Type,EXTORTION,Sunday,00:00-05:59,2,ALL
YTD,ALL,Crime Type,EXTORTION,Sunday,12:00-17:59,7,ALL
YTD,ALL,Crime Type,EXTORTION,Sunday,18:00-23:59,2,ALL
YTD,ALL,Crime Type,EXTORTION,Thursday,00:00-05:59,2,ALL
YTD,ALL,Crime Type,EXTORTION,Thursday,06:00-11:59,2,ALL
YTD,ALL,Crime Type,EXTORTION,Thursday,12:00-17:59,3,ALL
YTD,ALL,Crime Type,EXTORTION,Thursday,18:00-23:59,4,ALL
YTD,ALL,Crime Type,EXTORTION,Tuesday,06:00-11:59,4,ALL
