period,precinct_norm,selection_type,selection_name,total_incidents,peak_day,peak_day_count,peak_hour,peak_hour_count,peak_shift,peak_shift_count,peak_time_block,peak_time_block_count,period_start,period_end,neighborhood_scope
YTD,04,Crime Type,RUNAWAY,28,Friday,6,18,5,Evening Shift (14:00-21:59),19,18:00-23:59,15,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,SEX OFFENSES,16,Friday,4,12,3,Evening Shift (14:00-21:59),8,12:00-17:59,7,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,SEXUAL ASSAULT,25,Sunday,8,12,4,Night Shift (22:00-05:59),9,18:00-23:59,7,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,STOLEN PROPERTY,41,Wednesday,12,17,6,Evening Shift (14:00-21:59),22,12:00-17:59,20,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,STOLEN VEHICLE,193,Saturday,39,22,20,Evening Shift (14:00-21:59),89,18:00-23:59,101,2026-01-01,2026-09-15,ALL
YTD,04,Crime Type,WEAPONS OFFENSES,94,Wednesday,18,22,14,Evening Shift (14:00-21:59),44,18:00-23:59,53,2026-01-01,2026-09-15,ALL
YTD,04,Category Focus,Gun-Related,94,Wednesday,18,22,14,Evening Shift (14:00-21:59),44,18:00-23:59,53,2026-01-01,2026-09-15,ALL
YTD,04,Category Focus,Property Crime,1092,Tuesday,175,17,78,Evening Shift (14:00-21:59),456,18:00-23:59,374,2026-01-01,2026-09-15,ALL
YTD,04,Category Focus,Larceny,411,Tuesday,77,12,34,Evening Shift (14:00-21:59),177,12:00-17:59,138,2026-01-01,2026-09-15,ALL
YTD,05,All,All,3939,Tuesday,595,12,258,Evening Shift (14:00-21:59),1642,12:00-17:59,1258,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,AGGRAVATED ASSAULT,387,Saturday,67,20,26,Evening Shift (14:00-21:59),172,18:00-23:59,138,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,ARSON,19,Friday,6,15,2,Evening Shift (14:00-21:59),9,12:00-17:59,7,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,ASSAULT,823,Sunday,131,15,56,Evening Shift (14:00-21:59),346,12:00-17:59,253,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,BURGLARY,247,Tuesday,47,15,22,Evening Shift (14:00-21:59),102,12:00-17:59,84,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,DAMAGE TO PROPERTY,508,Tuesday,87,0,31,Evening Shift (14:00-21:59),186,18:00-23:59,142,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,DANGEROUS DRUGS,45,Wednesday,11,13,9,Evening Shift (14:00-21:59),23,12:00-17:59,25,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,DISORDERLY CONDUCT,9,Saturday,3,3,2,Night Shift (22:00-05:59),5,00:00-05:59,4,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,EXTORTION,1,Saturday,1,5,1,Night Shift (22:00-05:59),1,00:00-05:59,1,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,FAMILY OFFENSE,52,Thursday,11,16,5,Evening Shift (14:00-21:59),19,18:00-23:59,15,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,FORGERY,3,Wednesday,1,21,2,Evening Shift (14:00-21:59),2,18:00-23:59,2,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,FRAUD,415,Thursday,76,12,61,Evening Shift (14:00-21:59),201,12:00-17:59,201,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,HEALTH AND SAFETY,10,Wednesday,5,16,4,Evening Shift (14:00-21:59),7,12:00-17:59,9,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,HOMICIDE,3,Thursday,1,5,1,Night Shift (22:00-05:59),2,18:00-23:59,2,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,INVASION OF PRIVACY -OTHER,26,Wednesday,6,20,4,Day Shift (06:00-13:59),10,06:00-11:59,8,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,KIDNAPPING,9,Sunday,2,21,2,Evening Shift (14:00-21:59),6,18:00-23:59,3,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,LARCENY,464,Thursday,90,12,46,Evening Shift (14:00-21:59),189,12:00-17:59,166,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,LIQUOR,3,Sunday,1,14,2,Evening Shift (14:00-21:59),2,12:00-17:59,2,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,MISCELLANEOUS,8,Tuesday,2,13,2,Day Shift (06:00-13:59),4,12:00-17:59,5,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,OBSTRUCTING JUDICIARY,48,Sunday,13,18,5,Evening Shift (14:00-21:59),19,18:00-23:59,17,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,OBSTRUCTING THE POLICE,94,Thursday,19,22,10,Night Shift (22:00-05:59),38,18:00-23:59,36,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,OUIL,32,Sunday,8,21,6,Night Shift (22:00-05:59),14,18:00-23:59,14,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,ROBBERY,55,Monday,11,17,7,Evening Shift (14:00-21:59),27,12:00-17:59,19,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,RUNAWAY,108,Thursday,19,18,15,Evening Shift (14:00-21:59),57,18:00-23:59,39,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,SEX OFFENSES,17,Wednesday,6,8,3,Day Shift (06:00-13:59),9,12:00-17:59,7,2026-01-01,2026-09-15,ALL
YTD,05,Crime Type,SEXUAL ASSAULT,37,Monday,10,12,5,Evening Shift (14:00-21:59),13,12:00-17:59,12,2026-01-01,2026-09-15,ALL
